"season","alpha_hat","alpha_hat_p_value","beta1_hat","beta1_hat_p_value","beta2_hat","beta2_hat_p_value","R_avg","gamma1_hat","gamma1_lower","gamma1_upper","gamma2_hat","gamma2_lower","gamma2_upper","R_squared"
2006,0.498443995471203,2.21744201469119e-32,0.000606692107204079,1.18104386656971e-11,-2.17746765085898e-07,0.755827322158159,786.633333333333,1.90897693838787,1.55927947072043,2.25867440605532,-1.07791965202379,-8.11838258041555,5.96254327636797,0.82963427447207
2007,0.50721152503773,5.35869446274599e-32,0.000540268919191479,2.19533094445622e-11,7.86990913955163e-07,0.20959236003317,777.4,1.68002023111782,1.36357854505522,1.99646191718042,3.80494845569518,-2.26905088561019,9.87894779700055,0.816216981162726
2008,0.500136634391771,5.01240103824712e-33,0.000641863819401363,1.85171320099848e-12,1.66016781915204e-08,0.968358446064821,752.833333333333,1.93286591482397,1.60656767134305,2.25916415830489,0.0752730751170198,-3.78237643853025,3.93292258876429,0.851111444033746
2009,0.494930170990148,7.41109808980075e-30,0.00065200375123361,1.52055805708633e-12,-5.06715005256718e-07,0.467848925437232,747.3,1.94896961318751,1.62275946504053,2.27517976133448,-2.26382950910402,-8.57169502929245,4.04403601108441,0.851600991908783
2010,0.50010870974988,2.27734745779167e-37,0.000574896124592458,6.1575210075681e-18,1.03060087492921e-08,0.975490614905756,710.266666666667,1.63331821637548,1.46904452925109,1.79759190349987,0.0415932982829568,-2.7106067158308,2.79379331239671,0.949663154726643
2011,0.50740246084148,1.41631115861358e-31,0.00065481513258856,1.68297966080465e-13,6.20133940445254e-07,0.219973666927397,693.6,1.8167191038537,1.54001858618124,2.09341962152616,2.38667705118388,-1.51310268677471,6.28645678914248,0.873720787177909
2012,0.502497451991401,4.06649287296642e-32,0.000685273710291138,5.45877128690619e-14,2.62651238987578e-07,0.659635671245093,700.566666666667,1.92031967589185,1.64137718429225,2.19926216749144,1.03126049141659,-3.72027174452118,5.78279272735437,0.898805944433639
2013,0.512373947516493,1.9955823156054e-34,0.000632456604180192,1.65771699567353e-16,1.26342617629738e-06,0.0104427831168589,675.166666666667,1.70805446902264,1.51228414375521,1.90382479429006,4.60746286048265,1.17280328701151,8.0421224339538,0.924007020970216
2014,0.511219061379874,3.81740626640309e-35,0.000669633079184444,1.21602599955062e-13,1.44312324427273e-06,0.0103076490934919,658.7,1.76434923703517,1.49929038852345,2.0294080855469,5.00920419677048,1.28249197813699,8.73591641540397,0.881058414601567
2015,0.501752589977161,3.05013473850179e-31,0.000603469782414633,2.20764888277442e-10,2.1045419967187e-07,0.736603850825977,688.233333333333,1.66131207966866,1.31332314493092,2.00930101440639,0.797478511807345,-4.01735486183898,5.61231188545367,0.782347497750156
2016,0.5057310661711,1.67493553807391e-32,0.00058210179929554,4.64317709047997e-12,5.97167066755311e-07,0.240725179509147,724.8,1.68762953651763,1.39102516153969,1.98423391149557,2.50970227920467,-1.78305057816154,6.80245513657088,0.834988185380346
2017,0.495488088313423,1.61282653264737e-32,0.000530210714841363,3.40067397195535e-14,-4.19952663177427e-07,0.407575005909255,752.733333333333,1.59642911500635,1.36907253054073,1.82378569947198,-1.90358653175471,-6.54626197251294,2.73908890900353,0.90282669144562
2018,0.510712802622782,1.07990687952878e-31,0.000595566440559845,4.58927195985423e-16,8.73995404213778e-07,0.0705887479557585,721,1.71761361457459,1.51252854868561,1.92269868046357,3.63470915937516,-0.326974777243987,7.5963930959943,0.918202127842175
2019,0.50456563530901,2.0889846123507e-33,0.000607534657121972,2.66089520060786e-19,2.7187525181328e-07,0.365125664716022,782.233333333333,1.90093543982417,1.73184015749283,2.07003072215552,1.33085978107085,-1.63355808462639,4.29527764676809,0.952933069222237
2020,0.491134732969788,7.31343169339849e-27,0.0015851353222771,3.00298248406106e-12,-3.37344265818838e-06,0.325698888865887,278.133333333333,1.76351588387736,1.45945340007493,2.06757836767978,-2.08770629533444,-6.36691014158553,2.19149755091665,0.858413075129431
2021,0.508201464600747,5.5125018672559e-31,0.000582374011971524,1.44751572443349e-14,6.3486407698458e-07,0.167088852110178,733.666666666667,1.70907360046577,1.47415297546235,1.94399422546919,2.73380992836282,-1.21676560004623,6.68438545677187,0.894524206398167
2022,0.500389388929725,3.369341904873e-35,0.00060737213035816,7.86632541818257e-19,3.0094407443175e-08,0.919738403505072,693.9,1.68582208502211,1.52939907808827,1.84224509195595,0.115922985763936,-2.22262939961754,2.45447537114541,0.948173247308046
2023,0.502792478906016,6.22766546313261e-32,0.000541296441979055,4.18739154907805e-14,2.1222146617571e-07,0.598169787787154,747.733333333333,1.61898157152989,1.38640313460609,1.85156000845368,0.949232896684581,-2.70267524778446,4.60114104115362,0.891851628078773
2024,0.504543023298773,4.19562608179333e-36,0.000596980570217836,9.1632344531268e-16,4.2126401746834e-07,0.209962538188232,711.433333333333,1.69884750802124,1.49025816107858,1.90743685496389,1.70573975492958,-1.01948304900096,4.43096255886012,0.935900691304881
2025,0.500910809707316,7.50278153515512e-33,0.000520837191678602,2.75719224526759e-10,7.53044534527396e-08,0.834312859092414,720.466666666667,1.50098334145884,1.18326785111517,1.81869883180251,0.312707597298056,-2.72519884354841,3.35061403814452,0.859702944337783
